Name,Quality,Damage,Notes
38 Special,D Quality Item.png,5,Fires faster right after a dodge roll.
A.W.P.,A Quality Item.png,40,Fires bullets that can pierce through one enemy.
AK-47,B Quality Item.png,5.5,
AKEY-47,1S Quality Item.png,5.5,Opening a locked chest or door with the gun equipped opens it for free. Alternatively shooting a locked chest or door unlocks it.
AU Gun,1S Quality Item.png,100,Fires a single powerful bullet.
Abyssal Tentacle,A Quality Item.png,22.5 per second,Fires a tentacle that homes in on and grips enemies damaging them.
Alien Engine,B Quality Item.png,10,Rapid fire weapon that has a very short range only damaging enemies that come into contact with the muzzle flash. Enemies damaged have a chance to catch on fire. Extremely high recoil.
Alien Sidearm,D Quality Item.png,Uncharged: 5 Charged: 25,Charged shots are larger and deal more damage.
Anvillain,C Quality Item.png,10,Fires piercing anvils that knock back and stun enemies.
BSG,1S Quality Item.png,50,Slowly charges up to fire a large high-damage projectile.
Bait Launcher,C Quality Item.png,10,Fires a steak that causes a tiger to appear and maul the target.
Balloon Gun,C Quality Item.png,12,Fires small tornadoes. Grants flight while held but loses all ammo if damage is taken while it is held.
Banana,C Quality Item.png,10 (impact) + 30 (explosion),Fires an explosive banana that sends out three more bouncing explosive bananas.
Barrel,C Quality Item.png,8,Fires fish that have a chance to stun enemies and leave pools of water.
Bee Hive,B Quality Item.png,3,Fires bees that home in on and damage enemies.
Betrayer's Shield,B Quality Item.png,6,Upon reloading leaves a protective shield on the ground. Players in that area will be protected until the shield has absorbed a number of bullets.
Big Iron,B Quality Item.png,7x3 (21),Fires a random spread of three bullets.
Black Hole Gun,A Quality Item.png,10,Fires black holes that attract enemies and enemy bullets.
Blasphemy,B Quality Item.png,14,Starting weapon of The Bullet. Swinging the sword destroys bullets and damages enemies. When at full health swinging the sword also sends out a piercing sword projectile. Does not reveal secret walls.
Blooper,B Quality Item.png,7x6 (42),Fires shotgun blasts of blue bullets with high knockback.
Blunderbuss,D Quality Item.png,3x10 (30),Fires a short-ranged spray of bullets.
Bow,C Quality Item.png,Uncharged: 7.5 Charged: 30,Pierces enemies when fully charged.
Brick Breaker,C Quality Item.png,10,Fires turtle shells which pierce through enemies and bounce off of walls.
Budget Revolver,N/A,6,Starting weapon of The Convict. Does not reveal secret walls.
Bullet,C Quality Item.png,Gun: 7 Bullet: 4,Fires rotating guns which fire bullets as they travel.
Bullet Bore,A Quality Item.png,10 (impact) + 25 (explosion),Fires drills that home in on enemies stun them and explode after a short delay.
Bundle of Wands,C Quality Item.png,7x3 (21),Has a chance to transmogrify enemies.
Buzzkill,C Quality Item.png,7,Fires piercing bouncing sawblades.
Cactus,C Quality Item.png,2.5,Fires needles.
Camera,C Quality Item.png,10,Damages all enemies in the room. Has a chance to stun enemies.
Casey,D Quality Item.png,100,Swinging the bat damages enemies and reflects nearby bullets. Does not reveal secret walls.
Cat Claw,A Quality Item.png,2 (impact) + 10 (explosion),Fires darts that home in on enemies and explode after a short delay. The darts deal no damage on contact.
Charge Shot,B Quality Item.png,30,Fires a large laser that pierces enemies and bounces off of walls.
Charmed Bow,B Quality Item.png,Uncharged: 7.5 Charged: 14,Charms enemies when fully charged.
Cobalt Hammer,A Quality Item.png,Uncharged: 26 Charged: 36,Fires blue lasers. Charging the weapon makes it fire lasers in four directions.
Cold 45,B Quality Item.png,6,Fires bullets that freeze enemies.
Colt 1851,C Quality Item.png,6,Fires a burst of two bullets.
Commando,B Quality Item.png,20 (impact) + 25 (explosion),Fires homing rockets.
Composite Gun,1S Quality Item.png,Uncharged: 40 Charged: 100,Charged shot consumes all ammo in magazine and can pierce enemies.
Compressed Air Tank,A Quality Item.png,50,Fires sharks that swim around the room seeking enemies and biting them.
Corsair,C Quality Item.png,10,Fires slow-moving bullets that accelerate and bounce around the room.
Crescent Crossbow,A Quality Item.png,Large: 22 Medium: 8 Small: 3,Fires stars that split into smaller bouncing stars.
Crestfaller,C Quality Item.png,10,Fires bullets that slow and freeze enemies.
Crossbow,D Quality Item.png,22,Fires bolts.
Crown of Guns,C Quality Item.png,5.5,Sits atop the player's head and fires bullets in all directions.
Dark Marker,1S Quality Item.png,Bullets: 8 Explosion: 80,Charge shot consumes the entire clip to create a room-wide explosion and blank effect.
Dart Gun,N/A,6,Fires sticky darts. Starting weapon of The Cultist. Does not reveal secret walls.
Deckard,A Quality Item.png,5 (impact) + 35 (explosion),Fires a single powerful bullet that will explode upon impact.
Demon Head,B Quality Item.png,31 per second,Fires a continuous beam that has a chance to inflict Burn and slightly homes in on enemies.
Derringer,D Quality Item.png,10,
Devolver,C Quality Item.png,6,Has a chance to devolve enemies into simpler enemies.
Directional Pad,B Quality Item.png,8 (normal) 45 (fireball) 10 (grappling hook),Fires bullets in four directions. Combos can be entered to fire fireballs or a grappling hook. After running out of ammo it is destroyed but spawns a chest that contains a gun.
Disintegrator,1S Quality Item.png,70 per second,Fires a large laser after a long charge-up.
Dragunfire,A Quality Item.png,5,Rapidly fires burning bullets that have a chance to inflict Burn.
Dueling Laser,B Quality Item.png,100,Fires a large piercing high-damage laser. Needs to recharge after each shot.
Dueling Pistol,D Quality Item.png,10,Fires large piercing bullets that bounce twice.
Dungeon Eagle,C Quality Item.png,Uncharged: 10 Charged: 20,Can be charged to fire more powerful shots.
Elephant Gun,C Quality Item.png,5.5x6 (33),Fires a cone spread of bullets and has strong knockback.
Excaliber,B Quality Item.png,7,Fires a burst of three piercing sword projectiles. Reloading swings the sword destroying nearby bullets and damaging nearby enemies. Increases curse by 2.5.
Eye of the Beholster,B Quality Item.png,6,The last shot of each clip spawns a friendly Beadie.
Face Melter,B Quality Item.png,3,Simultaneously fires music notes in four directions. Places an amplifier on the ground at the player's position upon reloading. Whenever the Face Melter is fired the amplifier will fire music notes in the same pattern. Reloading again will remove the amplifier and place a new one.
Fightsabre,1S Quality Item.png,6,Reloading swings the gun around reflecting nearby bullets. Increases curse by 2.
Flame Hand,B Quality Item.png,Varying,Fires fireballs that pierce enemies and have a chance to set enemies on fire.
Flare Gun,D Quality Item.png,13,Fires bullets that have a chance to set enemies on fire.
Flash Ray,D Quality Item.png,7.5,Shoots lasers that pierce enemies. Has a chance to stun enemies.
Fossilized Gun,D Quality Item.png,15 per second,Fires a stream of oil. Reloading causes the skull to spit fire which can ignite the oil.
Freeze Ray,A Quality Item.png,20 per second,Fires a blue laser that has a chance to freeze enemies.
Frost Giant,B Quality Item.png,12,Fires big bullets that have a chance to freeze enemies.
Gamma Ray,C Quality Item.png,15 per second,Fires a green laser that has a chance to poison enemies and slightly homes in on enemies.
Gilded Hydra,1S Quality Item.png,7.5x8 (60),Fires a large burst of piercing bouncing bullets. Clip size is increased by 1 for each half heart the player is missing and healing decreases clip size.
Glacier,C Quality Item.png,8 (impact) + 6 (explosion),Fires bouncing ice cubes that explode and freeze enemies.
Grasschopper,A Quality Item.png,20 (impact) + 20 (explosion),Fires a single powerful blast that has very strong recoil.
Grenade Launcher,B Quality Item.png,10 (impact) + 25 (explosion),Shoots a grenade that bounces off of surfaces and explodes on impact with enemies.
Grey Mauser,B Quality Item.png,8,Reloading an empty clip makes the player invisible. Can be used to steal from shops.
Gunbow,A Quality Item.png,35,Fires a fast piercing projectile that ricochets many times.
Gungeon Ant,C Quality Item.png,Oil: 2x3 (6) Fire: 1.5x3 (4.5),Reloading alternates between firing spreads of bullets that leave behind oil and flaming bullets.
Gungine,1S Quality Item.png,5,Greatly increases movement speed while held. Reloading clears nearby goop and refills the gun's ammo.
Gunslinger's Ashes,C Quality Item.png,Contact: 12 Shots: 5x3 (15),Releases an armed spirit that attacks enemies.
Gunther,1S Quality Item.png,6,Cannot be used to reveal hidden walls. Grows stronger with each room cleared.
Gunzheng,B Quality Item.png,6,Rapidly fires inaccurate piercing homing arrows.
Hammer,B Quality Item.png,Bullets: 3.8 Hammer: 20,Fires a barrage of bullets. The last shot in the magazine is a hammer which deals extra damage and can stun enemies.
Heck Blaster,B Quality Item.png,2.5,Rapidly fires invisible bullets.
Hegemony Carbine,C Quality Item.png,3.5,Shoots rapid fire white bolts of energy.
Hegemony Rifle,B Quality Item.png,10,Rapidly fires inaccurate white lasers.
Helix,C Quality Item.png,7.5x2 (15),Fires two bullets in a helix pattern.
Heroine,B Quality Item.png,Level 1: 5 Level 2: 10 Level 3: 70,Has 3 levels of damage depending on how long the gun has been charged.
Hexagun,B Quality Item.png,35,Fires piercing bullets that have a chance to transmogrify enemies.
Huntsman,C Quality Item.png,3.5x6 (21),Fires a shotgun blast of bullets. Reloading swings the gun destroying nearby bullets. Increases curse by 1.
Hyper Light Blaster,B Quality Item.png,20,Has very low ammo but regenerates 1 ammo if a shot hits an enemy.
Ice Breaker,B Quality Item.png,Ice: 2x5 (10) Explosive: 35,The first two shots fire a shotgun blast of ice bullets and the final shot fires a single explosive shot.
Jolter,B Quality Item.png,13,Fires large and rectangular bullets with high knockback.
Klobbe,D Quality Item.png,1.2,Rapidly fires low-damage bullets.
Laser Lotus,A Quality Item.png,16,Fires piercing lasers.
Laser Rifle,C Quality Item.png,5,Fires a burst of three lasers.
Light Gun,B Quality Item.png,7,Fires zaps of light at enemies. The last bullet in the magazine is a duck which will automatically seek out the nearest enemy and attack them.
Lil' Bomber,D Quality Item.png,15 (impact) + 25 (explosion),Fires a bomb that bounces off of solid objects and explodes on enemy contact.
Lower Case r,D Quality Item.png,2.222...,Fires a burst of 6 bullets that spell out the word bullet.
Luxin Cannon,C Quality Item.png,4.5,Fires laser shots at enemies. When the magazine is emptied the tip of the crystal will be launched for extra damage.
M1,C Quality Item.png,20,Bullets penetrate enemies.
M16,A Quality Item.png,Gun: 5.5 Grenade: 10 (impact) + 25 (explosion),Reloading alternates between bursts of 3 bullets and a grenade launcher.
M1911,C Quality Item.png,8,
MAC10,C Quality Item.png,3.5,Fires a burst of four bullets.
Machine Fist,A Quality Item.png,Bullet: 4 Rocket: 20 (impact) + 30 (explosion),Reloading alternates between firing a gatling gun and a single shot exploding rocket punch that is guided by the player's reticle. The rocket punch consumes 10 ammo upon firing.
Machine Pistol,D Quality Item.png,3.2,
Magic Lamp,B Quality Item.png,8,Hitting an enemy three times causes a genie to punch them.
Magnum,B Quality Item.png,13,
Mahoguny,C Quality Item.png,Wood: 5 (impact) + 10 (explosion) Leaves: 4,Fires bouncing wood bullets along with several leaves.
Mailbox,D Quality Item.png,5,Fires mail at enemies with the final bullet in the magazine being a package. The package can explode leave confetti Burn or Poison enemies.
Makarov,D Quality Item.png,5,
Makeshift Cannon,1S Quality Item.png,about 1213.3,Fires a single blast that deals a large amount of damage.
Marine Sidearm,N/A,5,Starting gun of The Marine. Does not reveal secret walls.
Mass Shotgun,B Quality Item.png,Ball: 30 Split: 6x12 (72),Shoots a large slow projectile that will split up in a barrage of small bullets shortly afterwards.
Mega Douser,D Quality Item.png,15 per second,Fires a stream of water.
Megahand,B Quality Item.png,Uncharged: 6 Charged: 45,Has 2 levels of damage depending on how long the gun has been charged.
Microtransaction Gun,A Quality Item.png,2/8/15/20,Shoots various figurines books and gems at the cost of 1 coin per shot.
Mine Cutter,B Quality Item.png,Triple: 10 Single: 8,Reloading alternates between firing three small piercing parallel lasers and single large lasers.
Molotov Launcher,C Quality Item.png,6,Fires molotovs that set areas on fire.
Moonscraper,C Quality Item.png,26 per second,Fires a continuous laser that reflects when hitting anything solid for the first time.
Mourning Star,1S Quality Item.png,,Calls down a controllable orbital laser.
Mutation,B Quality Item.png,45 per second,Fires a continuous beam and heavily pushes back the player.
Nail Gun,D Quality Item.png,3,Fires a rapid stream of low damage nails. Fires faster if fire button is rapidly tapped rather than held.
Old Goldie,A Quality Item.png,3.5x10 (35),Increases coolness by 1.
Origuni,C Quality Item.png,7.5,Fires paper planes that follow the player's crosshair.
Particulator,1S Quality Item.png,Large: 30 Small: 7,Fires a large bullet which will split into 10 bullets that seek out enemies.
Patriot,1S Quality Item.png,7,Fires piercing bullets.  Fire rate increases rapidly as the trigger is held.
Pea Shooter,D Quality Item.png,4,Fires peas.
Phoenix,D Quality Item.png,4,Firing a bullet creates a small cone of fire in front of the player that sets enemies on fire.
Pitchfork,C Quality Item.png,4,Fires fireballs that have a chance to Burn enemies.
Plague Pistol,D Quality Item.png,4,Fires bullets that leave poison goop on the ground and have a chance to poison enemies.
Plunger,C Quality Item.png,5 per second,Fires a stream of poison. Has a chance to Poison enemies and leaves poisonous puddles on the floor whenever it hits an enemy.
Polaris,B Quality Item.png,Level 1: 5 Level 2: 6x2 (12) Level 3: 20,Has 3 levels. Killing enough enemies causes the gun to level up increasing its damage. Taking damage decreases its level by 1.
Poxcannon,C Quality Item.png,15,Shoots poisonous t-shirts. Poisoned enemies leave behind pools of poison goop upon death.
Proton Backpack,B Quality Item.png,50 per second,Fires a homing laser.
Prototype Railgun,A Quality Item.png,75,Fires a fast-moving piercing bullet.
Pulse Cannon,C Quality Item.png,4x6 (24),Fires a shotgun blast spread of 5 bullets.
Quad Laser,C Quality Item.png,80,Fires a large square bullet that moves extremely slowly.
RC Rocket,A Quality Item.png,100,Fires rockets guided by the player's cursor.
RPG,B Quality Item.png,20 (impact) + 35 (explosion),Fires grenades.
RUBE-ADYNE MK.II,A Quality Item.png,8,Fires bouncing lasers with limited range.
RUBE-ADYNE Prototype,B Quality Item.png,7,Fires lasers that bounce four times.
Rad Gun,B Quality Item.png,Variable,Increases coolness by 2. When reloading if the reload button is hit at the right time the gun's damage is increased. Failing a reload resets the damage.
Raiden Coil,A Quality Item.png,15 per second,Fires a laser that homes in on all on-screen enemies.
Railgun,1S Quality Item.png,50,Fires a fast-moving piercing bullet that bounces many times.
Rattler,B Quality Item.png,3x7 (21),Simultaneously fires a shotgun blast and a beam that has a chance to poison enemies.
Regular Shotgun,D Quality Item.png,4x6 (24),
Robot's Left Hand,A Quality Item.png,,Rapidly fires blue lasers.
Robot's Right Hand,N/A,5,Starting weapon of The Robot. Does not reveal secret walls.
Rogue Special,N/A,5,Fires short-range inaccurate lasers. Starting gun of The Pilot. Does not reveal secret walls.
Rusty Sidearm,N/A,6,Starting gun of The Hunter. Does not reveal secret walls.
SAA,B Quality Item.png,Direct: 8 Bounce: 12,Fires bouncing bullets that aim towards enemies after bouncing.
Sawed-Off,D Quality Item.png,4x4 (16),
Science Cannon,B Quality Item.png,26 per second,Fires a large laser after a short charge-up which inflicts random status effects on enemies.
Screecher,C Quality Item.png,1.5,Rapidly fires piercing sound waves that have a small chance to stun.
Serious Cannon,A Quality Item.png,50,Fires large bouncing cannonballs.
Shades's Revolver,C Quality Item.png,15,Increases coolness by 3.
Shell,B Quality Item.png,Shotguns: 8 Bullets: 4,Fires three shotguns each of which fires three bullets upon hitting something.
Shellegun,B Quality Item.png,8,Reloading alternates between a pistol and a continuous beam. Increases curse by 1.
Shock Rifle,B Quality Item.png,8,Fires a zap of electricity.
Shotbow,B Quality Item.png,6x6 (36),Fires a shotgun blast of bolts.
Shotgrub,C Quality Item.png,5x5 (25),Fires a spread of 5 bullets that leave small pools of poison goop.
Shotgun Full of Hate,A Quality Item.png,6x4 (bullets) + 5 (skull) + 3 (nail),Shoots a shotgun burst of skulls nails regular bullets and poison bullets that leave pools of poison goop.
Shotgun Full of Love,A Quality Item.png,5x6 (30),Has a chance to Charm enemies.
Silencer,C Quality Item.png,13,Fires zippers. Hitting an enemy with the swing of the weapon will stun the enemy.
Siren,C Quality Item.png,6x3 (18),Fires a shotgun blast of bullets that leave pools of water. Negates fall damage and goop effects while equipped.
Skull Spitter,C Quality Item.png,10,Fires homing skulls.
Sling,D Quality Item.png,25,Fires rocks that bounce once. Deals additional damage to bosses.
Smiley's Revolver,B Quality Item.png,9,Decreases shop prices while held. Fire rate increased shortly after rolling.
Snakemaker,A Quality Item.png,12,Has a chance to transmogrify enemies into snakes.
Sniper Rifle,C Quality Item.png,26,Fires bullets that can pierce through one enemy.
Snowballer,D Quality Item.png,3.5,Fires snowballs that have a chance to freeze enemies.
Staff of Firepower,A Quality Item.png,Gun: 7 Staff: 12,Reloading alternates between a rapid fire pistol and a beam weapon that can set enemies on fire.
Starpew,A Quality Item.png,5,Fires water droplets. Can be charged to increase the number of droplets fired.
Sticky Crossbow,C Quality Item.png,5 (arrow) + 15 (explosion),Fires bolts that stick to the enemy and explode upon reloading.
Stinger,B Quality Item.png,10 (impact) + 15 (explosion),Fires homing rockets that explode into bees.
Strafe Gun,1S Quality Item.png,Impact: 1 Explosion: 8,Fires nails that explode upon releasing the trigger.
Super Meat Gun,A Quality Item.png,6,Fires piercing bouncing saw blades. Slightly increases movement speed.
T-Shirt Cannon,D Quality Item.png,8,Fires t-shirts that have significant knockback.
Tangler,C Quality Item.png,6x6 (36),Fires a shotgun blast of rectangular bullets that bounce off walls. Enemies hit will be folded into a rectangle.
Tear Jerker,C Quality Item.png,7,Fires tears that leave behind puddles of water.
The Emperor,A Quality Item.png,7,Fires a burst of four bullets connected by electricity.
The Judge,B Quality Item.png,7.5,The final shot of each clip has a chance to poison freeze or ignite enemies. (likely more effects possible)
The Kiln,C Quality Item.png,Pots: 8 Crystals: 4,Fires pots that break into 3 bouncing crystals upon hitting something.
The Membrane,C Quality Item.png,Before split: 4x6 (24) After split: 3x12 (36),Fires a shotgun blast of bouncing green bullets that split into more bouncing green bullets.
The Scrambler,C Quality Item.png,6 (egg) + 9x5 (seekers),Fires bullets that hatch into many homing bullets upon hitting an enemy or obstacle.
Thompson Sub-Machinegun,C Quality Item.png,5,
Thunderclap,A Quality Item.png,8,Fires balls of lightning.
Trashcannon,C Quality Item.png,20,Fires a trash bag that explodes into poison projectiles that leave trails of poison goop.
Trick Gun,C Quality Item.png,Pistol: 7 Shotgun: 2x8 (16),Reloading transforms the gun between a pistol and a shotgun.
Trident,A Quality Item.png,8,Fires a long-range laser that pierces one enemy.
Triple Crossbow,C Quality Item.png,Slow: 7 Triple: 7x3 (21),Reloading alternates between triple bolts and single bolts that slow enemies.
Unfinished Gun,D Quality Item.png,6,Shots pierce through enemies.
Unicorn Horn,A Quality Item.png,30 per second,Fires a rainbow beam that homes in on enemies. Increases curse by 1.
VertebraeK-47,B Quality Item.png,4,Bullets close to each other will form links between each other which hurts enemies on touch.
Void Core Assault Rifle,B Quality Item.png,6.5,Fires bursts of three lasers.
Void Marshal,B Quality Item.png,9,
Void Shotgun,B Quality Item.png,5x6 (30),Fires 6 purple bullets with strong knockback.
Vorpal Gun,B Quality Item.png,5,Has a chance to fire a critical shot which deals 20 times its damage.
Vulcan Cannon,1S Quality Item.png,4,
Winchester Rifle,D Quality Item.png,15,
Winchester,C Quality Item.png,4x6 (24),
Wind Up Gun,D Quality Item.png,5,The second half of each clip is slower and deals less damage.
Witch Pistol,C Quality Item.png,6,Fires bullets that have a chance to transmogrify enemies.
Yari Launcher,1S Quality Item.png,10 (impact) + 15 (explosion),Rapidly fires homing rockets.
Zilla Shotgun,A Quality Item.png,Uncharged: 4x8 (32) Charged: 6x7 (42),Can be charged to fire the entire magazine at once which will cause it to fire piercing bouncing bullets.
Zorgun,A Quality Item.png,5.5,Rapidly fires homing bullets. The final bullet in each clip fires a random explosive (grenade rocket or drill).
